,0
0,0.013972706503945581
0,0.014135351848094911
0,0.014369353131675802
0,0.014322111659552298
0,0.013985476695540006
0,0.01403775856762158
0,0.013844578771519768
0,0.014010935806017883
0,0.014457048664871427
0,0.016786468103426776
0,0.014542923575970283
0,0.014106090869190277
1,1.9999008633468762
1,1.9998872282980935
1,1.9998694939785788
1,1.9999038102297721
1,1.9992666719071612
1,1.9999106258403834
1,1.9999078212780719
1,1.9999124563504147
1,1.9998551337920476
1,1.9999031537204273
1,1.9989222906162336
1,1.9999025389719998
1,1.9999040628772715
1,1.9999026119182932
1,1.9998606294913879
2,1.9999144173040047
2,1.99991251909737
2,1.999914469241772
2,1.9999142968885406
2,1.999914450111823
2,1.999914985919205
2,1.9999124204466323
2,1.9999146383467399
2,1.9999141216460121
2,1.9999138563621037
2,1.999913433479574
2,1.9999132357696086
